,AGE,AGE,WBC,WBC,Platelets,Platelets,Neutrophils,Neutrophils,Lymphocytes,Lymphocytes,Monocytes,Monocytes,Eosinophils,Eosinophils,Basophils,Basophils,CRP,CRP,AST,AST,ALT,ALT,ALP,ALP,GGT,GGT,LDH,LDH
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,61.77617328519855,17.815695199686267,8.55306859205776,4.855353347526425,226.5321299638989,101.1741776222978,6.200478468899522,4.172581031241283,1.1865384615384615,0.8064423801631618,0.6057416267942584,0.410048719243348,0.05502392344497608,0.13223712821580536,0.014423076923076924,0.039116496960338365,90.889010989011,94.42140575151268,54.20216606498195,57.612796695849184,44.91729323308271,45.5032315025435,89.89312977099236,89.08986404475988,82.4779411764706,132.70250587445392,380.4484536082474,193.98352027296716
1.0,61.83870967741935,17.772922369495127,8.574193548387097,4.862791554592019,226.65376344086022,100.8198641774724,6.597491039426522,4.482061866435994,1.2598566308243728,0.8987409143740496,0.6494623655913978,0.45541276776807915,0.06594982078853047,0.14723498686752898,0.01720430107526882,0.04056344860498391,92.58136200716845,96.87504900128604,54.2078853046595,57.457896460415796,47.458781362007166,49.868433953598334,82.36200716845879,66.09058633203506,79.68100358422939,119.07162781917101,379.51612903225805,199.69326908370198
2.0,61.831541218637994,17.767592602732545,8.556989247311828,4.8402255844657756,225.95125448028674,101.0669323249286,6.597491039426523,4.300814814772032,1.236200716845878,0.8066815690298333,0.6551971326164875,0.45837515720199107,0.05197132616487455,0.1398408109682711,0.01505376344086022,0.03871934589552013,91.24695340501793,94.97281843077457,54.26881720430107,57.421978305182535,47.40501792114696,50.648287626316595,81.80286738351255,65.19401475667733,73.4695340501792,103.19942088677071,365.7060931899642,178.11476677298714
3.0,61.87096774193548,17.79169586818137,8.600358422939069,4.870100365383921,226.28817204301075,100.89554736608169,6.650179211469534,4.439123597411032,1.2204301075268815,0.8013781932313101,0.6587813620071685,0.47284530476817016,0.05412186379928316,0.12251500945532143,0.014336917562724014,0.03805771505695644,91.2784946236559,94.0587179029835,54.16129032258065,57.41699488763062,46.774193548387096,48.08740446647247,83.48387096774194,67.06132910419164,75.2831541218638,106.76051716129939,367.75985663082434,191.07259638092836
4.0,61.727598566308245,17.768019275106987,8.55663082437276,4.838858460189911,226.57132616487456,100.91082484321055,6.624731182795699,4.3534156584345665,1.228673835125448,0.8065170907638795,0.643010752688172,0.42942102132176596,0.053763440860215055,0.12427557547089248,0.016487455197132614,0.04258540745833918,91.447311827957,94.24597114614562,54.028673835125446,57.45219378350245,46.86379928315412,48.28508059986136,83.06451612903226,66.92841764813906,75.38351254480287,113.30480258284321,374.77060931899643,195.30893549492242
5.0,61.831541218637994,17.80601733604391,8.53405017921147,4.84316863818561,226.44587813620072,101.32295919626141,6.591756272401434,4.412340053320752,1.2086021505376343,0.7990087267752364,0.6419354838709678,0.4457608274031682,0.05519713261648746,0.12566319261167944,0.015053763440860216,0.03871934589552013,91.25483870967741,94.81177322258338,54.00358422939068,57.45329652919071,45.9426523297491,45.80444366136207,83.96415770609319,67.70640282934951,76.44444444444444,117.72231209837568,374.40501792114696,196.47877979563518
6.0,61.83870967741935,17.772922369495127,8.574193548387097,4.862791554592019,226.65376344086022,100.8198641774724,6.597491039426522,4.482061866435994,1.2598566308243728,0.8987409143740496,0.6494623655913978,0.45541276776807915,0.06594982078853047,0.14723498686752898,0.01720430107526882,0.04056344860498391,92.58136200716845,96.87504900128604,54.2078853046595,57.457896460415796,47.458781362007166,49.868433953598334,82.36200716845879,66.09058633203506,79.68100358422939,119.07162781917101,379.51612903225805,199.69326908370198
7.0,61.831541218637994,17.767592602732545,8.556989247311828,4.8402255844657756,225.95125448028674,101.0669323249286,6.597491039426523,4.300814814772032,1.236200716845878,0.8066815690298333,0.6551971326164875,0.45837515720199107,0.05197132616487455,0.1398408109682711,0.01505376344086022,0.03871934589552013,91.24695340501793,94.97281843077457,54.26881720430107,57.421978305182535,47.40501792114696,50.648287626316595,81.80286738351255,65.19401475667733,73.4695340501792,103.19942088677071,365.7060931899642,178.11476677298714
